Date,Title
"5 Січня, 2025 8:00",Оперативна інформація станом на 08.00 05.01.2025 щодо російського вторгнення
"4 Січня, 2025 8:10",Оперативна інформація станом на 08.00 04.01.2025 щодо російського вторгнення
"3 Січня, 2025 8:10",Оперативна інформація станом на 08.00 03.01.2025 щодо російського вторгнення
"2 Січня, 2025 16:00",Збройні Сили України здійснили високоточний удар по командному пункту окупаційної армії рф
"2 Січня, 2025 8:10",Оперативна інформація станом на 08.00 02.01.2025 щодо російського вторгнення
"1 Січня, 2025 16:10",Головнокомандувач Збройних Сил України генерал Олександр Сирський нагородив українських воїнів на Курщині
"1 Січня, 2025 8:10",Оперативна інформація станом на 08.00 01.01.2025 щодо російського вторгнення
"31 Грудня, 2024 20:10",Привітання Головнокомандувача Збройних Сил України з Новим 2025 роком
"31 Грудня, 2024 16:00",Сил оборони України уразили ще одну нафтобазу російських окупантів
"31 Грудня, 2024 8:12",Оперативна інформація станом на 08.00 31.12.2024 щодо російського вторгнення
